category,name,brand,price,stock_quantity,attributes,image_url,description,currency
SSD,SSD Model 761 Rev-32,Gigabyte,54449.88,56,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_761_rev-32.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
Motherboard,Motherboard Model 203 Rev-81,Kingston,44676.94,95,{'speed': '3200MHz'},https://example.com/motherboard_model_203_rev-81.jpg,A high-performance processor suitable for gaming and content creation.,BDT
PSU,PSU Model 652 Rev-71,Corsair,23132.34,89,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_652_rev-71.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
GPU,GPU Model 334 Rev-85,Patriot,64058.87,90,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_334_rev-85.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
RAM,RAM Model 771 Rev-62,Intel,35627.58,71,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ram_model_771_rev-62.jpg,A high-performance processor suitable for gaming and content creation.,BDT
PSU,PSU Model 435 Rev-58,Intel,35394.25,15,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_435_rev-58.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
HDD,HDD Model 489 Rev-83,Intel,27846.25,75,{'socket': 'LGA1700'},https://example.com/hdd_model_489_rev-83.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
SSD,SSD Model 371 Rev-79,Patriot,32977.57,41,{'speed': '3200MHz'},https://example.com/ssd_model_371_rev-79.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
Case,Case Model 981 Rev-14,Gigabyte,26363.2,44,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_981_rev-14.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Motherboard,Motherboard Model 330 Rev-97,AMD,18629.57,72,{'speed': '3200MHz'},https://example.com/motherboard_model_330_rev-97.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 830 Rev-73,Intel,15990.41,83,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_830_rev-73.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
GPU,GPU Model 201 Rev-47,Intel,179982.17,67,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_201_rev-47.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
Motherboard,Motherboard Model 613 Rev-73,Seagate,28781.02,53,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_613_rev-73.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 191 Rev-78,Patriot,29824.08,92,{'socket': 'LGA1700'},https://example.com/hdd_model_191_rev-78.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Motherboard,Motherboard Model 209 Rev-6,Kingston,35074.38,11,{'socket': 'LGA1700'},https://example.com/motherboard_model_209_rev-6.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
HDD,HDD Model 753 Rev-5,Corsair,10592.05,100,{'socket': 'LGA1700'},https://example.com/hdd_model_753_rev-5.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
RAM,RAM Model 115 Rev-93,Seagate,10482.85,30,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_115_rev-93.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
GPU,GPU Model 824 Rev-64,Kingston,106603.29,50,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_824_rev-64.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Motherboard,Motherboard Model 705 Rev-70,AMD,35617.73,56,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_705_rev-70.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
GPU,GPU Model 495 Rev-33,Gigabyte,62955.73,52,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_495_rev-33.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
RAM,RAM Model 361 Rev-56,Corsair,32634.17,92,{'speed': '3200MHz'},https://example.com/ram_model_361_rev-56.jpg,A high-performance processor suitable for gaming and content creation.,BDT
SSD,SSD Model 144 Rev-95,Corsair,55865.44,94,{'socket': 'LGA1700'},https://example.com/ssd_model_144_rev-95.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Motherboard,Motherboard Model 385 Rev-76,Intel,32585.45,11,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_385_rev-76.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 494 Rev-22,Kingston,28618.95,51,{'speed': '3200MHz'},https://example.com/psu_model_494_rev-22.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
GPU,GPU Model 687 Rev-43,Seagate,123408.15,60,{'socket': 'LGA1700'},https://example.com/gpu_model_687_rev-43.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Case,Case Model 226 Rev-5,Intel,28075.52,38,{'speed': '3200MHz'},https://example.com/case_model_226_rev-5.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
GPU,GPU Model 837 Rev-57,NVIDIA,233340.18,32,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_837_rev-57.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
HDD,HDD Model 341 Rev-16,Gigabyte,13800.09,46,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_341_rev-16.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
SSD,SSD Model 421 Rev-70,AMD,7814.35,10,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_421_rev-70.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
Case,Case Model 968 Rev-95,Kingston,49159.2,83,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_968_rev-95.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
CPU,CPU Model 551 Rev-31,Corsair,57883.11,94,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_551_rev-31.jpg,A high-performance processor suitable for gaming and content creation.,BDT
Motherboard,Motherboard Model 424 Rev-6,AMD,19455.34,65,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_424_rev-6.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
SSD,SSD Model 233 Rev-97,Seagate,17698.97,76,{'speed': '3200MHz'},https://example.com/ssd_model_233_rev-97.jpg,A high-performance processor suitable for gaming and content creation.,BDT
GPU,GPU Model 887 Rev-91,Gigabyte,158178.14,82,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_887_rev-91.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
GPU,GPU Model 357 Rev-48,Gigabyte,227160.23,73,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_357_rev-48.jpg,A high-performance processor suitable for gaming and content creation.,BDT
PSU,PSU Model 436 Rev-53,AMD,14635.26,52,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_436_rev-53.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
SSD,SSD Model 812 Rev-50,AMD,73328.9,22,{'speed': '3200MHz'},https://example.com/ssd_model_812_rev-50.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Motherboard,Motherboard Model 169 Rev-43,Gigabyte,52783.08,73,{'socket': 'LGA1700'},https://example.com/motherboard_model_169_rev-43.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
Case,Case Model 959 Rev-61,Kingston,45874.02,12,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/case_model_959_rev-61.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Motherboard,Motherboard Model 383 Rev-57,Kingston,25278.75,13,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_383_rev-57.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
PSU,PSU Model 280 Rev-80,Patriot,17960.68,61,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_280_rev-80.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
CPU,CPU Model 430 Rev-24,Intel,64635.26,54,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_430_rev-24.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
CPU,CPU Model 996 Rev-78,Intel,66619.64,11,{'speed': '3200MHz'},https://example.com/cpu_model_996_rev-78.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
HDD,HDD Model 343 Rev-51,Corsair,12581.07,68,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_343_rev-51.jpg,A high-performance processor suitable for gaming and content creation.,BDT
Case,Case Model 537 Rev-74,Kingston,48378.4,41,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_537_rev-74.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
RAM,RAM Model 233 Rev-32,Patriot,14207.29,37,{'socket': 'LGA1700'},https://example.com/ram_model_233_rev-32.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
SSD,SSD Model 645 Rev-59,Seagate,57320.87,64,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ssd_model_645_rev-59.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
Motherboard,Motherboard Model 278 Rev-61,Corsair,35625.97,54,{'speed': '3200MHz'},https://example.com/motherboard_model_278_rev-61.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
RAM,RAM Model 242 Rev-58,NVIDIA,20270.3,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_242_rev-58.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
PSU,PSU Model 250 Rev-73,Corsair,22835.31,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_250_rev-73.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
HDD,HDD Model 217 Rev-15,Corsair,6373.29,93,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_217_rev-15.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
PSU,PSU Model 282 Rev-88,Seagate,10250.65,34,{'socket': 'LGA1700'},https://example.com/psu_model_282_rev-88.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
Case,Case Model 671 Rev-36,Intel,41696.48,18,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_671_rev-36.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
PSU,PSU Model 345 Rev-83,AMD,16562.57,82,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_345_rev-83.jpg,A high-performance processor suitable for gaming and content creation.,BDT
CPU,CPU Model 763 Rev-2,Intel,17310.65,25,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_763_rev-2.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
RAM,RAM Model 406 Rev-84,NVIDIA,24442.74,86,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_406_rev-84.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 653 Rev-95,Intel,47924.49,84,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_653_rev-95.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
HDD,HDD Model 449 Rev-10,Kingston,40032.45,96,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_449_rev-10.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
Case,Case Model 829 Rev-68,Gigabyte,37198.49,57,{'speed': '3200MHz'},https://example.com/case_model_829_rev-68.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
RAM,RAM Model 516 Rev-87,Corsair,3868.63,67,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_516_rev-87.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
HDD,HDD Model 844 Rev-90,Seagate,36056.61,31,{'socket': 'LGA1700'},https://example.com/hdd_model_844_rev-90.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
Case,Case Model 127 Rev-69,Seagate,59988.5,27,{'speed': '3200MHz'},https://example.com/case_model_127_rev-69.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
PSU,PSU Model 575 Rev-36,Gigabyte,34507.98,94,{'speed': '3200MHz'},https://example.com/psu_model_575_rev-36.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Case,Case Model 726 Rev-71,AMD,28023.05,27,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_726_rev-71.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
HDD,HDD Model 144 Rev-57,Seagate,18888.32,54,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_144_rev-57.jpg,A high-performance processor suitable for gaming and content creation.,BDT
CPU,CPU Model 385 Rev-74,NVIDIA,33903.37,36,{'speed': '3200MHz'},https://example.com/cpu_model_385_rev-74.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
HDD,HDD Model 542 Rev-52,Kingston,26171.16,26,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_542_rev-52.jpg,A high-performance processor suitable for gaming and content creation.,BDT
GPU,GPU Model 642 Rev-27,NVIDIA,27350.35,70,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_642_rev-27.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
SSD,SSD Model 850 Rev-29,Patriot,75266.68,16,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_850_rev-29.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
Case,Case Model 195 Rev-57,Gigabyte,48362.96,82,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_195_rev-57.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
SSD,SSD Model 450 Rev-55,NVIDIA,58117.11,40,{'socket': 'LGA1700'},https://example.com/ssd_model_450_rev-55.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
GPU,GPU Model 253 Rev-16,Patriot,232753.76,99,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_253_rev-16.jpg,A high-performance processor suitable for gaming and content creation.,BDT
CPU,CPU Model 404 Rev-46,Gigabyte,40352.78,88,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_404_rev-46.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
Case,Case Model 808 Rev-70,Seagate,12405.8,65,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_808_rev-70.jpg,A high-performance processor suitable for gaming and content creation.,BDT
SSD,SSD Model 735 Rev-59,Intel,45790.39,64,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ssd_model_735_rev-59.jpg,A high-performance processor suitable for gaming and content creation.,BDT
HDD,HDD Model 403 Rev-11,Kingston,36515.08,22,{'socket': 'LGA1700'},https://example.com/hdd_model_403_rev-11.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
PSU,PSU Model 394 Rev-48,Kingston,33485.71,84,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_394_rev-48.jpg,A high-performance processor suitable for gaming and content creation.,BDT
SSD,SSD Model 813 Rev-15,Kingston,85346.93,37,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_813_rev-15.jpg,A high-performance processor suitable for gaming and content creation.,BDT
Case,Case Model 387 Rev-4,Gigabyte,14629.75,28,{'speed': '3200MHz'},https://example.com/case_model_387_rev-4.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
CPU,CPU Model 800 Rev-69,Kingston,19447.12,31,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/cpu_model_800_rev-69.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 792 Rev-83,NVIDIA,38281.63,48,{'socket': 'LGA1700'},https://example.com/hdd_model_792_rev-83.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
SSD,SSD Model 414 Rev-13,NVIDIA,29370.37,79,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_414_rev-13.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
CPU,CPU Model 691 Rev-39,Gigabyte,71981.18,75,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_691_rev-39.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
PSU,PSU Model 750 Rev-3,Corsair,17511.68,96,{'socket': 'LGA1700'},https://example.com/psu_model_750_rev-3.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
CPU,CPU Model 480 Rev-84,Kingston,42510.25,76,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/cpu_model_480_rev-84.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
SSD,SSD Model 937 Rev-10,Patriot,69923.74,50,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_937_rev-10.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Motherboard,Motherboard Model 669 Rev-50,Seagate,51648.4,21,{'speed': '3200MHz'},https://example.com/motherboard_model_669_rev-50.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 744 Rev-97,Seagate,37176.17,55,{'socket': 'LGA1700'},https://example.com/hdd_model_744_rev-97.jpg,A high-performance processor suitable for gaming and content creation.,BDT
CPU,CPU Model 886 Rev-46,Intel,19524.42,50,{'socket': 'LGA1700'},https://example.com/cpu_model_886_rev-46.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
PSU,PSU Model 100 Rev-35,Seagate,23869.24,38,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_100_rev-35.jpg,A high-performance processor suitable for gaming and content creation.,BDT
RAM,RAM Model 638 Rev-33,Intel,11544.18,43,{'speed': '3200MHz'},https://example.com/ram_model_638_rev-33.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Motherboard,Motherboard Model 129 Rev-94,Patriot,49834.54,85,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_129_rev-94.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
SSD,SSD Model 869 Rev-10,Seagate,38382.79,78,{'speed': '3200MHz'},https://example.com/ssd_model_869_rev-10.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
SSD,SSD Model 205 Rev-12,AMD,58708.44,36,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_205_rev-12.jpg,A high-performance processor suitable for gaming and content creation.,BDT
Case,Case Model 876 Rev-90,Seagate,13074.22,92,{'speed': '3200MHz'},https://example.com/case_model_876_rev-90.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
GPU,GPU Model 119 Rev-38,Patriot,53514.63,13,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_119_rev-38.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
SSD,SSD Model 106 Rev-4,Patriot,79672.61,93,{'speed': '3200MHz'},https://example.com/ssd_model_106_rev-4.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
GPU,GPU Model 545 Rev-21,Corsair,40656.04,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_545_rev-21.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
GPU,GPU Model 276 Rev-54,NVIDIA,163869.77,73,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_276_rev-54.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
Motherboard,Motherboard Model 848 Rev-48,Corsair,42701.28,14,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_848_rev-48.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 845 Rev-40,Seagate,30724.51,97,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_845_rev-40.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
GPU,GPU Model 152 Rev-30,Gigabyte,130272.48,69,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_152_rev-30.jpg,A high-performance processor suitable for gaming and content creation.,BDT
Case,Case Model 655 Rev-18,Kingston,23775.76,34,{'speed': '3200MHz'},https://example.com/case_model_655_rev-18.jpg,A high-performance processor suitable for gaming and content creation.,BDT
GPU,GPU Model 258 Rev-22,Intel,58792.84,98,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_258_rev-22.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 241 Rev-98,AMD,16966.03,82,{'socket': 'LGA1700'},https://example.com/psu_model_241_rev-98.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
SSD,SSD Model 250 Rev-41,Seagate,8034.99,66,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_250_rev-41.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
PSU,PSU Model 314 Rev-92,Gigabyte,17395.06,21,{'speed': '3200MHz'},https://example.com/psu_model_314_rev-92.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
RAM,RAM Model 596 Rev-5,AMD,30052.63,70,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_596_rev-5.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
CPU,CPU Model 495 Rev-85,Patriot,51326.7,64,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_495_rev-85.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
HDD,HDD Model 838 Rev-75,Seagate,40558.9,75,{'speed': '3200MHz'},https://example.com/hdd_model_838_rev-75.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
