category,name,brand,price,stock_quantity,attributes,image_url,description
PSU,PSU Model 744 Rev-8,Patriot,691.51,11,{'socket': 'LGA1700'},https://example.com/psu_model_744_rev-8.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 761 Rev-32,Gigabyte,992.79,56,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_761_rev-32.jpg,A reliable motherboard designed for overclocking and heavy usage.
Motherboard,Motherboard Model 203 Rev-81,Kingston,313.1,95,{'speed': '3200MHz'},https://example.com/motherboard_model_203_rev-81.jpg,A high-performance processor suitable for gaming and content creation.
PSU,PSU Model 652 Rev-71,Corsair,349.05,89,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_652_rev-71.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
GPU,GPU Model 334 Rev-85,Patriot,616.82,90,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_334_rev-85.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 771 Rev-62,Intel,597.37,71,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ram_model_771_rev-62.jpg,A high-performance processor suitable for gaming and content creation.
PSU,PSU Model 435 Rev-58,Intel,353.28,15,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_435_rev-58.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 489 Rev-83,Intel,834.89,75,{'socket': 'LGA1700'},https://example.com/hdd_model_489_rev-83.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 371 Rev-79,Patriot,959.64,41,{'speed': '3200MHz'},https://example.com/ssd_model_371_rev-79.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 981 Rev-14,Gigabyte,780.11,44,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_981_rev-14.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 330 Rev-97,AMD,80.97,72,{'speed': '3200MHz'},https://example.com/motherboard_model_330_rev-97.jpg,A high-capacity HDD ideal for storing large amounts of data.
PSU,PSU Model 830 Rev-73,Intel,943.92,83,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_830_rev-73.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 201 Rev-47,Intel,426.12,67,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_201_rev-47.jpg,A reliable motherboard designed for overclocking and heavy usage.
Motherboard,Motherboard Model 613 Rev-73,Seagate,353.79,53,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_613_rev-73.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 191 Rev-78,Patriot,286.69,92,{'socket': 'LGA1700'},https://example.com/hdd_model_191_rev-78.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 209 Rev-6,Kingston,254.01,11,{'socket': 'LGA1700'},https://example.com/motherboard_model_209_rev-6.jpg,A reliable motherboard designed for overclocking and heavy usage.
HDD,HDD Model 753 Rev-5,Corsair,824.74,100,{'socket': 'LGA1700'},https://example.com/hdd_model_753_rev-5.jpg,Fast and efficient RAM for smooth multitasking and gaming.
RAM,RAM Model 115 Rev-93,Seagate,642.63,30,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_115_rev-93.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
GPU,GPU Model 824 Rev-64,Kingston,852.28,50,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_824_rev-64.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 705 Rev-70,AMD,943.12,56,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_705_rev-70.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 495 Rev-33,Gigabyte,428.88,52,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_495_rev-33.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 361 Rev-56,Corsair,569.32,92,{'speed': '3200MHz'},https://example.com/ram_model_361_rev-56.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 144 Rev-95,Corsair,369.87,94,{'socket': 'LGA1700'},https://example.com/ssd_model_144_rev-95.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 385 Rev-76,Intel,993.09,11,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_385_rev-76.jpg,A high-capacity HDD ideal for storing large amounts of data.
PSU,PSU Model 494 Rev-22,Kingston,735.91,51,{'speed': '3200MHz'},https://example.com/psu_model_494_rev-22.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 687 Rev-43,Seagate,975.98,60,{'socket': 'LGA1700'},https://example.com/gpu_model_687_rev-43.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Case,Case Model 226 Rev-5,Intel,832.03,38,{'speed': '3200MHz'},https://example.com/case_model_226_rev-5.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 837 Rev-57,NVIDIA,596.0,32,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_837_rev-57.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 341 Rev-16,Gigabyte,414.63,46,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_341_rev-16.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 421 Rev-70,AMD,720.2,10,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ssd_model_421_rev-70.jpg,A reliable motherboard designed for overclocking and heavy usage.
Case,Case Model 968 Rev-95,Kingston,291.81,83,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_968_rev-95.jpg,Fast and efficient RAM for smooth multitasking and gaming.
CPU,CPU Model 551 Rev-31,Corsair,827.19,94,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_551_rev-31.jpg,A high-performance processor suitable for gaming and content creation.
Motherboard,Motherboard Model 424 Rev-6,AMD,889.08,65,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_424_rev-6.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 233 Rev-97,Seagate,771.34,76,{'speed': '3200MHz'},https://example.com/ssd_model_233_rev-97.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 887 Rev-91,Gigabyte,288.57,82,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_887_rev-91.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 357 Rev-48,Gigabyte,339.64,73,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_357_rev-48.jpg,A high-performance processor suitable for gaming and content creation.
PSU,PSU Model 436 Rev-53,AMD,994.26,52,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_436_rev-53.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 812 Rev-50,AMD,296.68,22,{'speed': '3200MHz'},https://example.com/ssd_model_812_rev-50.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 169 Rev-43,Gigabyte,85.11,73,{'socket': 'LGA1700'},https://example.com/motherboard_model_169_rev-43.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Case,Case Model 959 Rev-61,Kingston,128.16,12,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/case_model_959_rev-61.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 383 Rev-57,Kingston,267.59,13,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_383_rev-57.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 280 Rev-80,Patriot,705.24,61,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_280_rev-80.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
CPU,CPU Model 430 Rev-24,Intel,290.94,54,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_430_rev-24.jpg,Fast and efficient RAM for smooth multitasking and gaming.
CPU,CPU Model 996 Rev-78,Intel,999.92,11,{'speed': '3200MHz'},https://example.com/cpu_model_996_rev-78.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 343 Rev-51,Corsair,530.71,68,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_343_rev-51.jpg,A high-performance processor suitable for gaming and content creation.
Case,Case Model 537 Rev-74,Kingston,357.61,41,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_537_rev-74.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 233 Rev-32,Patriot,216.82,37,{'socket': 'LGA1700'},https://example.com/ram_model_233_rev-32.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
SSD,SSD Model 645 Rev-59,Seagate,98.93,64,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ssd_model_645_rev-59.jpg,An SSD offering fast read/write speeds and durable performance.
Motherboard,Motherboard Model 278 Rev-61,Corsair,100.29,54,{'speed': '3200MHz'},https://example.com/motherboard_model_278_rev-61.jpg,A reliable motherboard designed for overclocking and heavy usage.
RAM,RAM Model 242 Rev-58,NVIDIA,249.49,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_242_rev-58.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 250 Rev-73,Corsair,960.37,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_250_rev-73.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 217 Rev-15,Corsair,244.55,93,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_217_rev-15.jpg,Fast and efficient RAM for smooth multitasking and gaming.
PSU,PSU Model 282 Rev-88,Seagate,261.13,34,{'socket': 'LGA1700'},https://example.com/psu_model_282_rev-88.jpg,A reliable motherboard designed for overclocking and heavy usage.
Case,Case Model 671 Rev-36,Intel,831.37,18,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_671_rev-36.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 345 Rev-83,AMD,730.64,82,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_345_rev-83.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 763 Rev-2,Intel,990.74,25,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_763_rev-2.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 406 Rev-84,NVIDIA,615.37,86,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_406_rev-84.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 653 Rev-95,Intel,462.72,84,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_653_rev-95.jpg,Fast and efficient RAM for smooth multitasking and gaming.
HDD,HDD Model 449 Rev-10,Kingston,783.98,96,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_449_rev-10.jpg,Fast and efficient RAM for smooth multitasking and gaming.
Case,Case Model 829 Rev-68,Gigabyte,112.79,57,{'speed': '3200MHz'},https://example.com/case_model_829_rev-68.jpg,An SSD offering fast read/write speeds and durable performance.
RAM,RAM Model 516 Rev-87,Corsair,867.33,67,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_516_rev-87.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
HDD,HDD Model 844 Rev-90,Seagate,985.04,31,{'socket': 'LGA1700'},https://example.com/hdd_model_844_rev-90.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 127 Rev-69,Seagate,775.52,27,{'speed': '3200MHz'},https://example.com/case_model_127_rev-69.jpg,A reliable motherboard designed for overclocking and heavy usage.
PSU,PSU Model 575 Rev-36,Gigabyte,317.67,94,{'speed': '3200MHz'},https://example.com/psu_model_575_rev-36.jpg,A high-capacity HDD ideal for storing large amounts of data.
Case,Case Model 726 Rev-71,AMD,924.72,27,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/case_model_726_rev-71.jpg,A reliable motherboard designed for overclocking and heavy usage.
HDD,HDD Model 144 Rev-57,Seagate,718.2,54,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_144_rev-57.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 385 Rev-74,NVIDIA,109.75,36,{'speed': '3200MHz'},https://example.com/cpu_model_385_rev-74.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 542 Rev-52,Kingston,313.27,26,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/hdd_model_542_rev-52.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 642 Rev-27,NVIDIA,808.85,70,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/gpu_model_642_rev-27.jpg,An SSD offering fast read/write speeds and durable performance.
SSD,SSD Model 850 Rev-29,Patriot,71.08,16,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_850_rev-29.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 195 Rev-57,Gigabyte,203.16,82,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/case_model_195_rev-57.jpg,An SSD offering fast read/write speeds and durable performance.
SSD,SSD Model 450 Rev-55,NVIDIA,524.87,40,{'socket': 'LGA1700'},https://example.com/ssd_model_450_rev-55.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 253 Rev-16,Patriot,683.94,99,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_253_rev-16.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 404 Rev-46,Gigabyte,150.1,88,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_404_rev-46.jpg,An SSD offering fast read/write speeds and durable performance.
Case,Case Model 808 Rev-70,Seagate,789.85,65,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_808_rev-70.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 735 Rev-59,Intel,658.69,64,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ssd_model_735_rev-59.jpg,A high-performance processor suitable for gaming and content creation.
HDD,HDD Model 403 Rev-11,Kingston,575.4,22,{'socket': 'LGA1700'},https://example.com/hdd_model_403_rev-11.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 394 Rev-48,Kingston,388.72,84,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_394_rev-48.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 813 Rev-15,Kingston,803.2,37,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_813_rev-15.jpg,A high-performance processor suitable for gaming and content creation.
Case,Case Model 387 Rev-4,Gigabyte,576.41,28,{'speed': '3200MHz'},https://example.com/case_model_387_rev-4.jpg,A reliable motherboard designed for overclocking and heavy usage.
CPU,CPU Model 800 Rev-69,Kingston,780.43,31,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/cpu_model_800_rev-69.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 792 Rev-83,NVIDIA,632.2,48,{'socket': 'LGA1700'},https://example.com/hdd_model_792_rev-83.jpg,Fast and efficient RAM for smooth multitasking and gaming.
SSD,SSD Model 414 Rev-13,NVIDIA,810.13,79,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ssd_model_414_rev-13.jpg,A reliable motherboard designed for overclocking and heavy usage.
CPU,CPU Model 691 Rev-39,Gigabyte,954.91,75,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_691_rev-39.jpg,An SSD offering fast read/write speeds and durable performance.
PSU,PSU Model 750 Rev-3,Corsair,476.86,96,{'socket': 'LGA1700'},https://example.com/psu_model_750_rev-3.jpg,A reliable motherboard designed for overclocking and heavy usage.
CPU,CPU Model 480 Rev-84,Kingston,172.96,76,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/cpu_model_480_rev-84.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 937 Rev-10,Patriot,409.22,50,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_937_rev-10.jpg,A high-capacity HDD ideal for storing large amounts of data.
Motherboard,Motherboard Model 669 Rev-50,Seagate,68.99,21,{'speed': '3200MHz'},https://example.com/motherboard_model_669_rev-50.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 744 Rev-97,Seagate,455.78,55,{'socket': 'LGA1700'},https://example.com/hdd_model_744_rev-97.jpg,A high-performance processor suitable for gaming and content creation.
CPU,CPU Model 886 Rev-46,Intel,476.03,50,{'socket': 'LGA1700'},https://example.com/cpu_model_886_rev-46.jpg,Fast and efficient RAM for smooth multitasking and gaming.
PSU,PSU Model 100 Rev-35,Seagate,291.25,38,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_100_rev-35.jpg,A high-performance processor suitable for gaming and content creation.
RAM,RAM Model 638 Rev-33,Intel,670.87,43,{'speed': '3200MHz'},https://example.com/ram_model_638_rev-33.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 129 Rev-94,Patriot,739.1,85,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_129_rev-94.jpg,A reliable motherboard designed for overclocking and heavy usage.
SSD,SSD Model 869 Rev-10,Seagate,751.31,78,{'speed': '3200MHz'},https://example.com/ssd_model_869_rev-10.jpg,Fast and efficient RAM for smooth multitasking and gaming.
SSD,SSD Model 205 Rev-12,AMD,972.67,36,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_205_rev-12.jpg,A high-performance processor suitable for gaming and content creation.
Case,Case Model 876 Rev-90,Seagate,306.43,92,{'speed': '3200MHz'},https://example.com/case_model_876_rev-90.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
GPU,GPU Model 119 Rev-38,Patriot,479.37,13,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_119_rev-38.jpg,A high-capacity HDD ideal for storing large amounts of data.
SSD,SSD Model 106 Rev-4,Patriot,691.35,93,{'speed': '3200MHz'},https://example.com/ssd_model_106_rev-4.jpg,Fast and efficient RAM for smooth multitasking and gaming.
GPU,GPU Model 545 Rev-21,Corsair,896.58,66,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_545_rev-21.jpg,A reliable motherboard designed for overclocking and heavy usage.
GPU,GPU Model 276 Rev-54,NVIDIA,953.78,73,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/gpu_model_276_rev-54.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
Motherboard,Motherboard Model 848 Rev-48,Corsair,457.02,14,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/motherboard_model_848_rev-48.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 845 Rev-40,Seagate,318.66,97,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/hdd_model_845_rev-40.jpg,An SSD offering fast read/write speeds and durable performance.
GPU,GPU Model 152 Rev-30,Gigabyte,504.47,69,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_152_rev-30.jpg,A high-performance processor suitable for gaming and content creation.
Case,Case Model 655 Rev-18,Kingston,507.76,34,{'speed': '3200MHz'},https://example.com/case_model_655_rev-18.jpg,A high-performance processor suitable for gaming and content creation.
GPU,GPU Model 258 Rev-22,Intel,689.95,98,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/gpu_model_258_rev-22.jpg,A high-capacity HDD ideal for storing large amounts of data.
PSU,PSU Model 241 Rev-98,AMD,819.53,82,{'socket': 'LGA1700'},https://example.com/psu_model_241_rev-98.jpg,Fast and efficient RAM for smooth multitasking and gaming.
SSD,SSD Model 250 Rev-41,Seagate,282.97,66,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_250_rev-41.jpg,Fast and efficient RAM for smooth multitasking and gaming.
PSU,PSU Model 314 Rev-92,Gigabyte,323.38,21,{'speed': '3200MHz'},https://example.com/psu_model_314_rev-92.jpg,A high-capacity HDD ideal for storing large amounts of data.
RAM,RAM Model 596 Rev-5,AMD,945.07,70,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/ram_model_596_rev-5.jpg,A reliable motherboard designed for overclocking and heavy usage.
CPU,CPU Model 495 Rev-85,Patriot,997.46,64,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_495_rev-85.jpg,A high-capacity HDD ideal for storing large amounts of data.
HDD,HDD Model 838 Rev-75,Seagate,382.51,75,{'speed': '3200MHz'},https://example.com/hdd_model_838_rev-75.jpg,A high-capacity HDD ideal for storing large amounts of data.
PSU,PSU Model 228 Rev-13,NVIDIA,127.53,97,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_228_rev-13.jpg,A high-performance processor suitable for gaming and content creation.
SSD,SSD Model 139 Rev-43,Seagate,167.69,52,{'socket': 'LGA1700'},https://example.com/ssd_model_139_rev-43.jpg,A high-performance processor suitable for gaming and content creation.
Motherboard,Motherboard Model 912 Rev-1,NVIDIA,421.9,79,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_912_rev-1.jpg,An SSD offering fast read/write speeds and durable performance.
CPU,CPU Model 208 Rev-99,Seagate,270.75,38,{'socket': 'LGA1700'},https://example.com/cpu_model_208_rev-99.jpg,An SSD offering fast read/write speeds and durable performance.
HDD,HDD Model 373 Rev-25,Intel,713.24,43,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/hdd_model_373_rev-25.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
RAM,RAM Model 635 Rev-81,Gigabyte,504.26,16,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/ram_model_635_rev-81.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.
PSU,PSU Model 952 Rev-15,Corsair,751.98,35,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_952_rev-15.jpg,A high-capacity HDD ideal for storing large amounts of data.
